movie,15,30,311,452,468,509,547,564,624,73
88 Minutes,2,4,2,,2,2,1.5,2,3,3.5
A Time to Kill,3,5,2.5,2,2,3,,4,3,3
Barry Lyndon,4,,3,3,3,3.5,4,5,4,2.5
Gleaming the Cube,2.5,4,4,,3,3,3,4,3,4
Judgment Night,4,4,4,4,3.5,3,2.5,1,,4.5
License to Wed,5,4,,2,3,4,3.5,5,4,5
Lonely Hearts,5,5,3,4,4,4,5,5,,4
Mr. Holland's Opus,2,1,3.5,3,2.5,2,,4,4,3.5
Psycho,2,3,4,4,3,3,3,5,3,
Rain Man,4,4,3.5,3,,2,3,5,3,3
Sleepless in Seattle,5,5,,5,4,5,4,2,5,5
The 39 Steps,5,4,4,4,3.5,5,,2,5,4.5
The Endless Summer,4.5,5,4,,2.5,4,4,4,2,3.5
The Forbidden Kingdom,1,5,3,,3,4.5,5,3,4,3.5
The Terminal,2.5,3,3,,4,3.5,5,4,4,3.5
